generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.72579,-2.19259e+08,10,0
1000,1,-568.573,-1.23219e+07,0.850576,0.172
2000,0,-439.228,-100442,0.637767,0.162
3000,1,-5361.91,-13959.4,2.03353,0.168944
4000,0,-5356.4,-13592.1,1.44438,0.201
5000,0,-5288.79,-13420.4,0.294716,0.163
6000,4,-5107.21,-13335.9,4.78729,0.177304
7000,0,-4944,-13439.2,0.415968,0.19
8000,0,-4861.18,-13385.4,0.0585405,0.196
9000,1,-4861.62,-13241.6,2.6745,0.172
10000,2,-4802.62,-13139.1,1.5385,0.190375
11000,1,-4736.56,-13229.3,1.26027,0.189
12000,1,-4704.06,-13222.8,3.21396,0.159
13000,8,-4703.36,-13176.2,11.9362,0.206
14000,0,-4744.85,-13041.9,0.976202,0.1755
15000,1,-4680.75,-13054.5,0.353117,0.18
16000,0,-4682.23,-13038.6,0.0454455,0.156
17000,1,-4599.51,-13098.8,1.69268,0.178342
18000,0,-4613.87,-13081.5,0.848875,0.169
19000,0,-4619.49,-13052.5,1.14188,0.156
20000,0,-4631.86,-13025.4,2.09897,0.178714
21000,0,-4615.7,-13003.1,5.49251,0.1708
22000,1,-4641.93,-13008.7,0.179291,0.167
23000,1,-4656.02,-12904.1,0.565216,0.146
24000,0,-4504.9,-13039.2,0.019666,0.146
25000,1,-4528.28,-12996.6,1.87441,0.161
26000,0,-4542.87,-13038.8,0.39541,0.1655
27000,0,-4542.86,-13029.5,0.296756,0.176
28000,0,-4489.54,-13085.4,1.08152,0.151
29000,0,-4535.26,-12950.1,0.0542728,0.16825
30000,0,-4481.37,-13004.4,1.49212,0.164
31000,1,-4498.64,-13005.8,2.12091,0.16
32000,0,-4499.4,-12997.9,0.357743,0.171
33000,3,-4497.8,-12988.2,3.62101,0.164
34000,3,-4493.77,-12982.4,3.51605,0.16
35000,2,-4502.27,-12962.7,3.10791,0.18
36000,0,-4558.16,-12925.6,1.34306,0.16275
37000,1,-4520.65,-12931.2,2.16423,0.164235
38000,3,-4411.32,-13056.1,1.76101,0.145667
39000,1,-4416.38,-13047.9,1.04007,0.152
40000,0,-4596.29,-12877.8,2.0318,0.153
41000,0,-4565.67,-12906.8,0.118796,0.136
42000,2,-4531.68,-12944,1.51268,0.169
43000,0,-4565.16,-12896.5,0.280832,0.186
44000,0,-4565.16,-12891.9,0.248063,0.147
45000,1,-4531.84,-12914.3,1.16133,0.152
46000,1,-4416.87,-13028.3,0.861067,0.154
47000,1,-4415.5,-13035.5,1.48799,0.171
48000,1,-4639.12,-12928,1.70064,0.165279
49000,1,-4423.55,-13026.2,1.51644,0.1585
50000,0,-4526.81,-12900.3,0.383099,0.153231
51000,0,-4605.62,-12824.1,0.488252,0.145
52000,1,-4515.32,-12914.6,2.4843,0.178
53000,3,-4558.18,-12848.6,2.41952,0.156
54000,1,-4560.24,-12853.6,3.1196,0.152
55000,1,-4576.78,-12839.7,1.3892,0.128
56000,0,-4494.53,-12920,1.83628,0.168
