generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.72579,-106010,10,0
1000,3,-15.9862,-5553.65,4.449,0.218
2000,7,-39.6974,-4771.21,4.62122,0.227386
3000,8,-36.288,-4697.86,6.23542,0.279
4000,13,-22.7086,-4663.33,18.4884,0.318
5000,17,-24.2674,-4672.86,17.2482,0.305
6000,16,-22.0064,-4689.74,15.1804,0.328
7000,20,-31.0942,-4719.35,27.6585,0.302
8000,20,-24.6313,-4720.03,16.512,0.296
9000,27,-30.0893,-4725.41,34.6303,0.291
10000,28,-20.2437,-4725.52,25.9712,0.327
11000,24,-26.5365,-4695.38,24.474,0.3006
12000,25,-30.4934,-4677.99,29.6332,0.299
13000,26,-46.6002,-4663.4,24.7758,0.307
14000,37,-29.3092,-4671.79,28.6948,0.294
15000,25,-25.1258,-4695.82,24.8834,0.3142
16000,25,-19.5154,-4717.55,22.9782,0.298
17000,24,-17.6014,-4455.64,22.0678,0.204223
18000,29,-13.9937,-4442.89,31.5524,0.278
19000,30,-16.6059,-4446.11,30.1452,0.292
20000,30,-24.0154,-4452.74,38.0261,0.286
21000,32,-21.4736,-4451.19,31.4381,0.294
22000,36,-21.8465,-4465.24,35.9639,0.292
23000,30,-24.2704,-4460.27,26.6455,0.294
24000,36,-31.9722,-4453.25,35.3945,0.265
25000,26,-99.2021,-4505.15,27.0412,0.215791
26000,28,-102.186,-4511.33,23.8037,0.27
27000,40,-25.8674,-4458.42,36.1858,0.277667
28000,42,-27.3665,-4493.25,36.1858,0.314
29000,41,-22.0089,-4501.46,29.0772,0.313
30000,39,-19.1137,-4502.23,44.8976,0.307
31000,44,-22.351,-4517.44,32.8701,0.311
32000,41,-23.2262,-4514.95,32.1937,0.285
33000,41,-25.9907,-4490.94,28.6151,0.317
34000,42,-25.9374,-4477.6,45.5538,0.317
35000,42,-18.0257,-4489.11,31.1776,0.297
36000,45,-19.4346,-4504.78,49.986,0.298
37000,50,-13.6636,-4482.45,44.6658,0.32
38000,58,-16.175,-4498.95,54.73,0.32
39000,54,-13.8213,-4500.46,54.73,0.345
40000,53,-3.99782,-4469.98,44.6553,0.288
41000,48,-10.3657,-4474.72,40.3869,0.303
42000,44,-15.1104,-4479.05,28.9528,0.309
43000,49,-14.3879,-4502.45,61.6599,0.32
44000,53,-10.4234,-4515.21,53.697,0.29
45000,48,-17.4984,-4503.64,56.6675,0.303
46000,53,-20.3214,-4511.65,52.0503,0.297
47000,48,-24.2196,-4497.35,39.8603,0.278
48000,54,-11.5761,-4511.32,50.685,0.295
49000,46,-8.97553,-4513.55,52.3814,0.285
50000,47,-6.17262,-4507.81,43.3724,0.298
51000,50,4.35636,-4493.26,42.4829,0.321
52000,48,-0.203299,-4489.39,43.7515,0.299
53000,42,-7.33892,-4492.23,34.3042,0.293
54000,44,-1.71602,-4500.66,38.4942,0.321
55000,46,-0.311382,-4477.15,39.9198,0.303
56000,40,-5.96484,-4483.85,37.4294,0.32
57000,45,-2.42301,-4482.84,36.408,0.32
58000,46,-1.73143,-4472.26,50.0763,0.303
59000,51,3.10378,-4470.35,44.5188,0.293
60000,50,-4.91696,-4478.38,57.9407,0.339
61000,47,-48.1889,-4505.03,42.7893,0.288629
62000,45,-48.5692,-4508.01,40.1453,0.3
