"","node","time","lam1","lam2","mu1","mu2","index"
"1",732,0,40.074,0.0852153,0,0,1
"2",1454,16.2114,0.667398,0.01033176,0,0,2
"3",1411,19.3667,3.83502,0.0287509,0,0,3
"4",1453,19.4227,1.90296,0.0755975,0,0,4
"5",1160,22.215,1.07261,0.0881028,0,0,5
"6",436,24.2301,2.77017,-0.005215015,0,0,6
"7",334,25.468,0.159859,-0.0708105,0,0,7
"8",1264,25.5732,4.1751,0.0479805,0,0,8
"9",1158,25.6831,0.206338,-0.0276919,0,0,9
"10",435,26.8404,1.80034,0.0272993,0,0,10
"11",681,27.6934,1.05633,0.00610846,0,0,11
"12",1403,27.7163,0.260003,0.00398513,0,0,12
"13",689,27.9659,4.45613,0.0165356,0,0,13
"14",945,28.5611,2.028075,0.04583215,0,0,14
"15",1267,28.56725,1.1756055,0.02614105,0,0,15
"16",1220,28.9288,1.12812,-0.0138726,0,0,16
"17",943,29.1944,1.11818,-0.0753653,0,0,17
"18",868,29.4326,0.597498,-0.00307078,0,0,18
"19",420,30.0087,0.347062,0.0836598,0,0,19
"20",808,30.14905,1.480085,-0.00831825,0,0,20
"21",623,30.27925,0.9473725,-0.08078655,0,0,21
"22",927,30.4691,1.3068,-0.0318887,0,0,22
"23",714,30.6515,2.0723,-0.0402567,0,0,23
"24",522,30.9228,1.68459,0.0330611,0,0,24
"25",1417,30.936,0.0263636,-0.120211,0,0,25
"26",1249,30.9569,4.54573,0.0121916,0,0,26
"27",363,31.0128,0.0428536,-0.063263,0,0,27
"28",1376,31.0178,0.232866,0.0208299,0,0,28
"29",627,31.0317,0.464006,0.00376908,0,0,29
"30",719,31.05935,0.2016345,-0.0076309,0,0,30
"31",1051,31.0762,1.53782,-0.0180916,0,0,31
"32",390,31.1153,0.669564,-0.0225795,0,0,32
"33",328,31.1383,0.112583,-0.0796485,0,0,33
"34",846,31.2014,5.05145,0.0200426,0,0,34
"35",245,31.2619,0.730241,0.0247555,0,0,35
"36",982,31.2993,1.03166,0.0523796,0,0,36
"37",791,31.3043,3.74502,-0.0167754,0,0,37
"38",310,31.3708,1.33106,0.0137527,0,0,38
"39",1198,31.4244,0.111209,-0.0976252,0,0,39
"40",716,31.4600666666667,2.06847866666667,0.00363836666666667,0,0,40
"41",1401,31.4648,0.97995985,-0.04047815,0,0,41
"42",1366,31.4894,1.96273,-0.00861314,0,0,42
"43",362,31.4938,1.48754,0.0210586,0,0,43
"44",1433,31.6141,0.161842,-0.0491923,0,0,44
"45",422,31.6278,2.51607,-0.0430316,0,0,45
"46",827,31.6457,2.24719,0.0435308,0,0,46
"47",940,31.6513,0.345274,0.00406887,0,0,47
"48",906,31.6691,1.47352,-0.0711527,0,0,48
"49",801,31.7026,0.448505,-0.0276173,0,0,49
"50",1185,31.7129,1.86721,0.0814729,0,0,50
"51",721,31.7366,0.08025815,-0.0090432,0,0,51
"52",957,31.8563,4.9847,0.0972422,0,0,52
"53",414,31.9002,4.71459,-0.0656648,0,0,53
"54",790,31.9367,0.698462,-0.123674,0,0,54
"55",1445,32.0372,1.31773,0.0341889,0,0,55
"56",530,32.1027,0.634612,-0.03514,0,0,56
"57",622,32.108,2.49488,-0.097194,0,0,57
"58",485,32.1797,0.146514,0.0522421,0,0,58
"59",1201,32.2048,2.92647,-0.035194,0,0,59
"60",1329,32.2291,3.72523,-0.10326,0,0,60
"61",60,32.2667,0.0539473,0.0409157,0,0,61
"62",1146,32.3058,0.567625,0.0269689,0,0,62
"63",468,32.3196,0.482595,-0.0566559,0,0,63
"64",911,32.3199,2.91574,-0.00951729,0,0,64
"65",1212,32.4672,0.0722818,0.0358385,0,0,65
"66",195,32.4812,0.351985,-0.00166338,0,0,66
"67",805,32.5816,0.496449,0.0391913,0,0,67
"68",100,32.6276,2.2431,0.0717526,0,0,68
"69",569,32.9295,0.914605,0.0214427,0,0,69
"70",1393,32.9817,0.000944456,0.0545155,0,0,70
"71",603,33.0706,3.88714,0.0546217,0,0,71
"72",531,33.1428,0.941358,0.055851,0,0,72
"73",176,33.2061,1.82048,0.0205028,0,0,73
"74",44,33.2176,0.285586,-0.0142238,0,0,74
"75",918,33.2428,0.439362,-0.00374785,0,0,75
"76",534,33.2443,0.579078,-0.0226802,0,0,76
"77",393,33.2561,0.433103,-0.0434623,0,0,77
"78",679,33.2578,0.282625,-0.00694198,0,0,78
"79",1167,33.2722,0.115301,0.0969101,0,0,79
"80",1245,33.311,1.65011,0.0200489,0,0,80
"81",48,33.3621,0.975955,0.018184,0,0,81
"82",799,33.4712,1.02357,0.0641268,0,0,82
"83",532,33.4848,0.78314,0.0112883,0,0,83
"84",821,33.4932,0.311842,-0.0317732,0,0,84
"85",1066,33.5235,0.244197,-0.0904835,0,0,85
"86",566,33.5458,1.7739,-0.0300645,0,0,86
"87",219,33.554,0.965682,-0.0174498,0,0,87
"88",604,33.564,1.03163,-0.0932042,0,0,88
"89",205,33.5942,0.408389,-0.0347024,0,0,89
"90",712,33.7252,2.77141,-0.0218027,0,0,90
"91",701,33.7486,0.563746,0.0762716,0,0,91
"92",718,33.7645,1.29247,0.00801862,0,0,92
"93",106,33.8574,0.523817,-0.0224107,0,0,93
"94",448,33.9023,0.222396,1.65538e-05,0,0,94
"95",99,33.9212,4.81899,-0.0385577,0,0,95
"96",498,33.9213,2.68627,0.0402277,0,0,96
"97",725,33.9731,0.436851,0.0922646,0,0,97
"98",584,34.0905,1.81483,0.0262892,0,0,98
"99",39,34.1226,0.946313,-0.0401953,0,0,99
"100",667,34.1407,0.566584,0.0050682,0,0,100
"101",313,34.1553,0.273306,0.0656698,0,0,101
