"","shifts","prob"
"1",55,0.000118
"2",56,0.000118
"3",57,0.000118
"4",61,0.000118
"5",62,0.000118
"6",63,0.000235
"7",64,0.000118
"8",65,0.000235
"9",66,0.000588
"10",67,0.000471
"11",68,0.000235
"12",69,0.000588
"13",70,0.000471
"14",71,0.000588
"15",72,0.000706
"16",73,0.00141
"17",74,0.000706
"18",75,0.000823
"19",76,0.00153
"20",77,0.00212
"21",78,0.00247
"22",79,0.00212
"23",80,0.00329
"24",81,0.00318
"25",82,0.00353
"26",83,0.00412
"27",84,0.00518
"28",85,0.00576
"29",86,0.00529
"30",87,0.00518
"31",88,0.00612
"32",89,0.00823
"33",90,0.00788
"34",91,0.00882
"35",92,0.00835
"36",93,0.00941
"37",94,0.00906
"38",95,0.0118
"39",96,0.0107
"40",97,0.00965
"41",98,0.0118
"42",99,0.0113
"43",100,0.0134
"44",101,0.0156
"45",102,0.0132
"46",103,0.0166
"47",104,0.0141
"48",105,0.0161
"49",106,0.0173
"50",107,0.0168
"51",108,0.0178
"52",109,0.0165
"53",110,0.0227
"54",111,0.0208
"55",112,0.0202
"56",113,0.0204
"57",114,0.0238
"58",115,0.0241
"59",116,0.0227
"60",117,0.0187
"61",118,0.0218
"62",119,0.0232
"63",120,0.0199
"64",121,0.0188
"65",122,0.0224
"66",123,0.0181
"67",124,0.0214
"68",125,0.0167
"69",126,0.0179
"70",127,0.0173
"71",128,0.0174
"72",129,0.0147
"73",130,0.0158
"74",131,0.0165
"75",132,0.0138
"76",133,0.0128
"77",134,0.0141
"78",135,0.0136
"79",136,0.0119
"80",137,0.0109
"81",138,0.0105
"82",139,0.0128
"83",140,0.0104
"84",141,0.0119
"85",142,0.0104
"86",143,0.00976
"87",144,0.00812
"88",145,0.0104
"89",146,0.00741
"90",147,0.00635
"91",148,0.00671
"92",149,0.00847
"93",150,0.00682
"94",151,0.006
"95",152,0.00471
"96",153,0.00412
"97",154,0.00365
"98",155,0.00353
"99",156,0.00306
"100",157,0.00224
"101",158,0.00247
"102",159,0.00259
"103",160,0.00188
"104",161,0.00259
"105",162,0.00235
"106",163,0.00176
"107",164,0.000823
"108",165,0.000941
"109",166,0.000706
"110",167,0.000353
"111",168,0.000588
"112",169,0.000471
"113",170,0.000353
"114",171,0.000235
"115",173,0.000118
"116",176,0.000118
"117",181,0.000118
"118",182,0.000118
