generation,leftchild,rightchild,abstime,betainit,betashift
0,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.642503,0
1000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.807066,1.48982
1000,Carex_buchananii|NZ|NCBI_AUTHOR_Gardner_316,Carex_berggrenii|NZ|NCBI_AUTHOR_Gardner_327,33.6319,8.91056,1.3766
1000,Carex_strigosa|AUT|spm00003302,NA,32.5629,3.32584,-0.0154854
1000,Carex_jacutica||NCBI_AUTHOR_Shekhovtsov_622,Carex_capricornis||NCBI_AUTHOR_Shekhovtsov_642,30.9239,11.9788,3.84594
1000,Carex_longicruris|EHM|spm00005770,NA,32.766,1.78833,1.94737
1000,Carex_resectans|NZN|spm00002618,NA,32.3568,2.67837,-0.00825943
1000,Carex_pachystylis|UZB|spm00003472,Carex_physodes|TZK|spm00005427,29.4915,3.41593,2.71108
2000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,1.75438,1.48982
2000,Carex_buchananii|NZ|NCBI_AUTHOR_Gardner_316,Carex_libera|NZ|NCBI_AUTHOR_Gardner_329,32.8146,46.4842,1.3766
2000,Carex_strigosa|AUT|spm00003302,NA,33.0744,12.0192,0.74988
2000,Carex_jacutica||NCBI_AUTHOR_Shekhovtsov_622,Carex_frankii|ALA|spm00000939,29.1207,27.8227,3.84594
2000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,1.60754,10.1749,0.887121
3000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,3.82336,0.856522
3000,Carex_buchananii|NZ|NCBI_AUTHOR_Gardner_316,Carex_petriei|NZ|NCBI_AUTHOR_Gardner_315,32.5191,58.9933,4.43219
3000,Carex_jacutica||NCBI_AUTHOR_Shekhovtsov_622,Carex_heterolepis|KOR|NCBI_Jung_2360,27.6137,102.305,1.87286
3000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,0.983296,30.9677,0.887121
4000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,7.38115,0.448535
4000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_jacutica||NCBI_AUTHOR_Shekhovtsov_622,24.9857,265.129,0.48375
4000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_jacutica||NCBI_AUTHOR_Shekhovtsov_622,26.5848,721.775,0.95114
4000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,0.408309,66.0854,0.531651
5000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,14.4948,0.448535
5000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_jacutica||NCBI_AUTHOR_Shekhovtsov_622,25.5838,88.9939,-0.414875
5000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_jacutica||NCBI_AUTHOR_Shekhovtsov_622,25.9016,1536,1.86073
5000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,0.337848,192.098,0.531651
6000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,14.9361,0.448535
6000,Carex_careyana|KTY|spm00001401,NA,32.7609,0.320105,-0.0447398
6000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_assiniboinensis|MAN|spm00000722,22.4858,9996.9,0.681045
6000,Carex_tribuloides_var_sangamonensis|MSI|spm00002714,Carex_muelleri|NZ|NCBI_AUTHOR_Gardner_301,22.6701,1527.52,0.892723
6000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,0.699302,1344.95,0.546188
7000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,29.0785,0.391195
7000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_assiniboinensis|MAN|spm00000722,22.4858,24952.4,0.681045
7000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,0.000403806,1954.44,0.447446
8000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,94.1106,0.391195
8000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_filicina|VIE|spm00007873,20.2121,24952.4,0.645528
8000,Carex_multispiculata|NAT|spm00003765,NA,33.5508,0.430733,0.026873
8000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,0.801366,11499.7,0.447446
9000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,902.221,0.25256
9000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_filicina|VIE|spm00007873,20.1699,24952.4,0.585474
9000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,1.45918,14974.2,0.447446
10000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,905.51,0.25256
10000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_filicina|VIE|spm00007873,17.0983,24952.4,0.479279
10000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,1.33758,14974.2,0.230193
11000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,917.528,0.25256
11000,Carex_ferruginea|SWI|spm00000531,NA,32.9238,0.96585,-0.068695
11000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_filicina|VIE|spm00007873,16.4721,24952.4,0.479279
11000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,0.161177,14611.4,0.230193
12000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,854.601,0.179778
12000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_filicina|VIE|spm00007873,12.2434,24833.2,0.449798
12000,Carex_onoei|CHM|spm00004513,NA,29.1914,0.915818,-0.027861
12000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,0.586263,13214.5,0.255284
13000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,869.602,0.25256
13000,Carex_acutiformis|TVL|spm00002122,NA,33.795,1.59122,0.00636366
13000,Carex_calcis|NZS|spm00002186,NA,34.0477,1.33687,-0.0706717
13000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_filicina|VIE|spm00007873,13.6201,24952.4,0.479279
13000,Carex_remota|YUG|spm00006118,NA,34.0242,0.590311,0.0383789
13000,Carex_onoei|CHM|spm00004513,NA,28.402,1.27101,-0.027861
13000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,0.841106,13641.6,0.218184
14000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,857.592,0.179778
14000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_filicina|VIE|spm00007873,12.4588,24833.2,0.449798
14000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,1.14753,14636.6,0.255284
15000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,857.892,0.25256
15000,Carex_libera|NZ|NCBI_AUTHOR_Gardner_329,NA,34.0867,0.3245,-0.0576342
15000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_eburnea|MIC|spm00000842,10.767,24769.9,0.453167
15000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,0.0213395,13641.6,0.218184
16000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,857.892,0.240682
16000,Carex_atrofusca|ASK|spm00001654,NA,33.6722,0.326923,0.0334102
16000,Carex_stenostachys|JAP|spm00006689,NA,33.2693,1.83441,0.0194788
16000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_eburnea|MIC|spm00000842,8.78522,24769.9,0.453167
16000,Carex_omiana|JAP|NCBI_Waterway_3651,NA,33.6958,3.34882,-0.0213339
16000,Carex_subviridis||spm00004429,NA,34.0943,1.58446,-0.0900517
16000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,0.0152449,13641.6,0.218184
17000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,307.514,0.1679
17000,Carex_petriei|NZ|NCBI_AUTHOR_Gardner_315,NA,33.3752,0.989496,-0.10548
17000,Carex_platyphylla|MRY|spm00001152,NA,32.4737,0.329232,0.118657
17000,Carex_grayi|TEN|spm00000924,NA,31.7523,3.14951,-0.0179181
17000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,5.07606,29312.4,0.336986
17000,Carex_okamotoi|KOR|NCBI_Hoshino_2100,Carex_lingii|CH|NCBI_Yang_3761,1.50938,9357.62,0.255284
18000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,185.683,0.1679
18000,Carex_albonigra|ASK|spm00001621,NA,33.8604,0.762281,0.033099
18000,Carex_laevigata|SPA|spm00002938,NA,33.8561,1.36103,0.021796
18000,Carex_platyphylla|MRY|spm00001152,NA,32.2964,0.27758,0.0227757
18000,Carex_lancea|CPP|spm00003764,NA,31.1169,1.01145,-0.0131797
18000,Carex_bostrychostigma|JAP|spm00003784,NA,32.8358,0.454193,-0.031062
18000,Carex_satsumensis|TAI|spm00005838,NA,31.4658,0.902373,-0.00305065
18000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,2.73036,29312.4,0.336986
18000,Carex_okamotoi|KOR|NCBI_Hoshino_2100,Carex_lingii|CH|NCBI_Yang_3761,3.32648,2973.03,0.255284
19000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,100.394,0.1679
19000,Carex_pudica|JAP|spm00006673,NA,29.8374,1.18076,0.0359851
19000,Carex_phaeocephala|NEV|spm00001193,NA,34.1731,0.102014,-0.0665641
19000,Carex_lancea|CPP|spm00003764,NA,31.1423,0.722579,-0.0131797
19000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,1.29513,26821.9,0.336986
19000,Carex_okamotoi|KOR|NCBI_Hoshino_2100,Carex_lingii|CH|NCBI_Yang_3761,2.60024,1150.9,0.255284
20000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,18.8471,0.1679
20000,Carex_killickii|NAT|spm00007793,NA,33.8808,0.214354,-0.0176351
20000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,2.33911,27720.9,0.336986
20000,Carex_okamotoi|KOR|NCBI_Hoshino_2100,Carex_lingii|CH|NCBI_Yang_3761,3.39795,951.455,0.148672
21000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,2.06113,0.0841641
21000,Carex_stenophylla|HUN|spm00002178,NA,31.7104,0.484695,-0.0608277
21000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,2.96967,27720.9,0.336986
21000,Carex_okamotoi|KOR|NCBI_Hoshino_2100,Carex_lingii|CH|NCBI_Yang_3761,1.52858,951.455,0.164827
22000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,860.874,0.144937
22000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,3.96058,27692.9,0.322687
23000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.635304,0.0841641
23000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,3.94674,27720.9,0.300543
23000,Carex_okamotoi|KOR|NCBI_Hoshino_2100,Carex_lingii|CH|NCBI_Yang_3761,1.11587,888.46,0.164827
24000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.425813,0.0841641
24000,Carex_ursina|YUK|spm00001975,NA,34.1701,1.05278,-0.0494248
24000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,3.80561,27720.9,0.300543
24000,Carex_okamotoi|KOR|NCBI_Hoshino_2100,Carex_lingii|CH|NCBI_Yang_3761,0.606652,888.46,0.164827
25000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.307694,-0.00891064
25000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,4.31107,27720.9,0.285695
25000,Carex_okamotoi|KOR|NCBI_Hoshino_2100,Carex_lingii|CH|NCBI_Yang_3761,0.272255,888.46,0.164827
26000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.409529,-0.00891064
26000,Carex_pudica|JAP|spm00006673,NA,29.8294,0.491611,0.0339203
26000,Carex_dissitiflora|JAP|spm00007871,NA,31.2609,0.572277,-0.00574922
26000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,3.29521,27720.9,0.285695
26000,Carex_okamotoi|KOR|NCBI_Hoshino_2100,Carex_lingii|CH|NCBI_Yang_3761,0.237016,739.561,0.164827
27000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.804425,-0.00891064
27000,Carex_pudica|JAP|spm00006673,NA,30.8189,1.62314,-0.0450973
27000,Carex_alatauensis|AFG|spm00003401,NA,29.2215,0.636721,-0.0194887
27000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,2.70692,27720.9,0.285695
27000,Carex_okamotoi|KOR|NCBI_Hoshino_2100,Carex_lingii|CH|NCBI_Yang_3761,1.27884,739.561,0.185925
28000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.691646,-0.00891064
28000,Carex_libera|NZ|NCBI_AUTHOR_Gardner_329,NA,33.465,2.39479,0.0690274
28000,Carex_nervina|CAL|spm00001840,NA,32.7087,0.928467,0.00558158
28000,Carex_muricata_ssp_muricata|POL|spm00004400,NA,34.0698,0.535029,-0.0965684
28000,Carex_neurocarpa|PRM|spm00006483,NA,31.6892,2.36249,-0.0386149
28000,Carex_nardina|QUE|spm00001510,NA,31.1603,1.61647,-0.0199673
28000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,2.47142,27720.9,0.285695
28000,Carex_okamotoi|KOR|NCBI_Hoshino_2100,Carex_lingii|CH|NCBI_Yang_3761,2.07469,739.561,0.185925
29000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.378551,-0.00891064
29000,Carex_neurocarpa|PRM|spm00006483,NA,30.7141,0.778596,-0.0386149
29000,Carex_gibba|CHH|spm00005244,NA,32.9864,2.52104,-0.0832614
29000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,3.44566,27580.7,0.285695
29000,Carex_okamotoi|KOR|NCBI_Hoshino_2100,Carex_lingii|CH|NCBI_Yang_3761,1.79625,739.561,0.185925
30000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.834879,0.0266164
30000,Carex_tenuiflora|MAN|spm00001313,NA,33.3747,0.0697446,-0.0420496
30000,Carex_dissitiflora|JAP|spm00007871,NA,29.4536,0.494674,0.00127368
30000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,3.9005,27580.7,0.285695
30000,Carex_okamotoi|KOR|NCBI_Hoshino_2100,Carex_lingii|CH|NCBI_Yang_3761,0.361657,772.52,0.153326
31000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_okamotoi|KOR|NCBI_Hoshino_2100,0,0.561339,0.0266164
31000,Carex_dissitiflora|JAP|spm00007871,NA,32.553,0.0304138,-0.000551432
31000,Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584,Carex_satsumensis|TAI|spm00005838,2.81142,0.407006,0.013909
