"","shifts","prob"
"1",0,0.106
"2",1,0.112
"3",2,0.103
"4",3,0.0896
"5",4,0.0853
"6",5,0.0823
"7",6,0.0658
"8",7,0.0638
"9",8,0.0506
"10",9,0.0471
"11",10,0.0371
"12",11,0.0338
"13",12,0.0287
"14",13,0.0174
"15",14,0.0147
"16",15,0.0153
"17",16,0.00965
"18",17,0.0108
"19",18,0.00647
"20",19,0.00506
"21",20,0.00435
"22",21,0.00318
"23",22,0.00259
"24",23,0.00106
"25",24,0.000941
"26",25,0.000941
"27",26,0.000941
"28",27,0.000941
"29",28,0.000235
"30",29,0.000118
"31",30,0.000235
"32",31,0.000235
"33",32,0.000353
"34",34,0.000118
"35",37,0.000118
